Epoch 0: Training Loss=0.529085, Validation Loss=0.364719
Epoch 1: Training Loss=0.340315, Validation Loss=0.320364
Epoch 0: Training Loss=0.524535, Validation Loss=0.406764
Epoch 1: Training Loss=0.336183, Validation Loss=0.318010
Epoch 2: Training Loss=0.313200, Validation Loss=0.290275
Epoch 3: Training Loss=0.276227, Validation Loss=0.282309
Epoch 4: Training Loss=0.265874, Validation Loss=0.263097
Epoch 0: Training Loss=0.538259, Validation Loss=0.434020
Epoch 1: Training Loss=0.352065, Validation Loss=0.397847
Epoch 2: Training Loss=0.287709, Validation Loss=0.312551
Epoch 3: Training Loss=0.283613, Validation Loss=0.370188
Epoch 4: Training Loss=0.271871, Validation Loss=0.306966
Epoch 5: Training Loss=0.248672, Validation Loss=0.300109
Epoch 6: Training Loss=0.247597, Validation Loss=0.284690
Epoch 7: Training Loss=0.233873, Validation Loss=0.495035
Epoch 0: Training Loss=0.520022, Validation Loss=0.365698
Epoch 1: Training Loss=0.351321, Validation Loss=0.347776
Epoch 2: Training Loss=0.328501, Validation Loss=0.302131
Epoch 3: Training Loss=0.291023, Validation Loss=0.292627
Epoch 4: Training Loss=0.278243, Validation Loss=0.333097
Epoch 5: Training Loss=0.287375, Validation Loss=0.268387
Epoch 6: Training Loss=0.265806, Validation Loss=0.264424
Epoch 7: Training Loss=0.258146, Validation Loss=0.287057
Epoch 8: Training Loss=0.268782, Validation Loss=0.281693
Epoch 9: Training Loss=0.244324, Validation Loss=0.293581
Epoch 0: Training Loss=0.520312, Validation Loss=0.340894
Epoch 1: Training Loss=0.358699, Validation Loss=0.351539
Epoch 2: Training Loss=0.328320, Validation Loss=0.284587
Epoch 3: Training Loss=0.290017, Validation Loss=0.307161
Epoch 4: Training Loss=0.285923, Validation Loss=0.264892
Epoch 5: Training Loss=0.271280, Validation Loss=0.261991
Epoch 6: Training Loss=0.258769, Validation Loss=0.283721
Epoch 7: Training Loss=0.254532, Validation Loss=0.261125
Epoch 8: Training Loss=0.233102, Validation Loss=0.255643
Epoch 9: Training Loss=0.230709, Validation Loss=0.253894
Epoch 10: Training Loss=0.224120, Validation Loss=0.243048
Epoch 11: Training Loss=0.215983, Validation Loss=0.241025
Epoch 12: Training Loss=0.203553, Validation Loss=0.233318
Epoch 13: Training Loss=0.204470, Validation Loss=0.228906
Epoch 14: Training Loss=0.192982, Validation Loss=0.244042
Epoch 15: Training Loss=0.191855, Validation Loss=0.227140
Epoch 16: Training Loss=0.185593, Validation Loss=0.227405
Epoch 17: Training Loss=0.185417, Validation Loss=0.222551
Epoch 18: Training Loss=0.179059, Validation Loss=0.222981
Epoch 19: Training Loss=0.175830, Validation Loss=0.221516
